210220,180000,00000000,-system,sys,town tax report: 828355025 139300992 18759128 167762987 6546204506 
210220,181208,0100007f,ADMIN,inv,DeleteItem 1459 43 1 73 24 60 8 
210220,181210,0100007f,ADMIN,inv,DeleteItem 4038 43 9 0 0 0 0 
210220,181211,0100007f,ADMIN,inv,DeleteItem 4038 43 9 0 0 0 0 
210220,181213,0100007f,ADMIN,inv,DeleteItem 1802 11 137 60 12 4 50 
210220,181216,0100007f,ADMIN,inv,DeleteItem 1425 43 3 72 30 74 12 
210220,181311,0100007f,ADMIN,cargo, in Item : 4038 43 9 0 0 0 0 
210220,181311,0100007f,ADMIN,cargo, in Item : 4038 43 9 0 0 0 0 
210220,181312,0100007f,ADMIN,cargo, in Item : 4038 43 9 0 0 0 0 
210220,181313,0100007f,ADMIN,cargo, in Item : 4038 43 9 0 0 0 0 
210220,181314,0100007f,ADMIN,cargo, in Item : 4038 43 9 0 0 0 0 
210220,181314,0100007f,ADMIN,cargo, in Item : 4038 43 9 0 0 0 0 
210220,181315,0100007f,ADMIN,cargo, in Item : 4038 43 9 0 0 0 0 
210220,181350,0100007f,ADMIN,clo,fd 22-5-658833440 
210220,181350,0100007f,ADMIN,clo,fd 22-5 conn:2 num:25 
